student_id,student_name,age,gender,course,semester,ug_percentage,ug_cgpa,attendance_percent,internal_score,backlogs,performance,sem1_sgpa
SEM2_0001,Finn Vora,28,Male,MCA,2,66.13,6.55,72.7,30,1,Excellent,7.72
SEM2_0002,Sanya Wable,26,Male,MCA,2,66.25,6.41,72.2,23,2,Average,7.23
SEM2_0003,Janaki Brahmbhatt,25,Male,MCA,2,50.16,5.11,88.5,14,3,At-risk,7.58
SEM2_0004,Isaac Bhatia,26,Female,MCA,2,62.65,5.61,95.3,25,1,Excellent,8.53
SEM2_0005,Yashasvi Jain,23,Female,MCA,2,74.24,7.24,85.6,16,0,Average,7.08
SEM2_0006,Mason Gala,24,Female,MCA,2,59.63,5.81,72.9,22,0,Average,7.97
SEM2_0007,Falak Venkatesh,23,Female,MCA,2,53.09,5.37,62.9,17,0,Average,6.88
SEM2_0008,Riya Dada,25,Male,MCA,2,83.46,8.75,95.3,20,1,Average,8.37
SEM2_0009,Samesh Suresh,27,Male,MCA,2,85.02,8.19,93.8,30,0,Excellent,9.52
SEM2_0010,Gavin Uppal,22,Female,MCA,2,60.8,6.45,69.7,22,0,Average,8.17
SEM2_0011,Sanaya Bhakta,23,Female,MCA,2,51.08,5.09,60.5,16,1,At-risk,6.01
SEM2_0012,Sudiksha Deo,23,Female,MCA,2,62.7,6.06,82.7,16,1,Average,6.67
SEM2_0013,Yochana Sagar,24,Male,MCA,2,84.99,9.41,83.4,23,0,Average,8.07
SEM2_0014,Tanmayi Bhardwaj,23,Female,MCA,2,72.73,7.7,77.3,28,1,Excellent,8.92
SEM2_0015,Turvi Morar,24,Male,MCA,2,67.71,6.94,79.0,25,0,Excellent,8.27
SEM2_0016,Anthony Randhawa,27,Female,MCA,2,75.46,7.92,90.7,21,1,Average,8.34
SEM2_0017,Aachal Aggarwal,21,Male,MCA,2,59.42,5.57,80.6,18,0,Average,8.13
SEM2_0018,Tejas Bora,21,Male,MCA,2,72.27,7.21,82.2,18,1,Average,8.11
SEM2_0019,Chakradev Sampath,28,Male,MCA,2,76.29,7.91,74.7,16,0,Average,7.95
SEM2_0020,Hemangini Bhatt,21,Female,MCA,2,70.85,7.28,84.8,20,0,Average,8.5
SEM2_0021,Darpan Biswas,21,Female,MCA,2,77.11,7.6,66.9,21,3,At-risk,8.03
SEM2_0022,Urmi Balay,22,Male,MCA,2,50.86,5.03,96.2,22,1,Average,7.49
SEM2_0023,Bhavini Rege,22,Male,MCA,2,78.84,8.19,87.3,18,0,Average,6.91
SEM2_0024,Pranit Deshmukh,21,Male,MCA,2,70.55,6.65,74.5,20,1,Average,8.19
SEM2_0025,Osha Prasad,21,Male,MCA,2,75.25,7.68,95.3,17,0,Average,7.85
SEM2_0026,Lavanya Sen,24,Female,MCA,2,63.28,6.41,80.2,30,0,Excellent,8.73
SEM2_0027,Krishna Prashad,21,Male,MCA,2,56.51,5.74,92.6,21,0,Average,7.98
SEM2_0028,Faris Zacharia,27,Male,MCA,2,55.78,5.19,74.7,24,3,At-risk,7.75
SEM2_0029,Kiaan Pall,28,Female,MCA,2,61.65,6.54,65.9,18,1,Average,7.53
SEM2_0030,Jagat Gokhale,21,Female,MCA,2,86.16,8.33,91.9,25,0,Average,7.21
SEM2_0031,Maya Wadhwa,25,Male,MCA,2,61.14,6.85,81.1,21,1,Average,7.08
SEM2_0032,Joshua Kapoor,27,Female,MCA,2,77.05,7.5,85.6,19,1,Average,8.09
SEM2_0033,Aarush Bajaj,27,Female,MCA,2,76.21,8.06,86.4,18,0,Average,7.85
SEM2_0034,Chanchal Sheth,25,Female,MCA,2,65.69,6.66,71.5,26,0,Excellent,7.73
SEM2_0035,Panini Wali,22,Female,MCA,2,73.89,7.06,80.3,17,3,At-risk,8.31
SEM2_0036,Ladli Karpe,21,Female,MCA,2,60.11,5.8,87.0,26,1,Average,8.34
SEM2_0037,Yug Sharma,28,Female,MCA,2,85.07,8.61,74.8,23,0,Excellent,8.52
SEM2_0038,Hiral Dubey,26,Male,MCA,2,79.44,8.12,69.5,14,4,At-risk,7.46
SEM2_0039,Anya Gulati,22,Female,MCA,2,68.37,7.14,83.4,28,0,Excellent,8.59
SEM2_0040,Isaiah Balay,22,Female,MCA,2,72.49,7.5,76.3,30,1,Excellent,8.88
SEM2_0041,Oni Babu,21,Female,MCA,2,80.67,7.89,85.8,12,2,Average,7.59
SEM2_0042,Wridesh Jhaveri,25,Female,MCA,2,69.14,7.08,74.4,21,1,Average,8.04
SEM2_0043,Ekalinga Chaudhuri,27,Female,MCA,2,68.46,6.84,77.3,17,0,Average,6.6
SEM2_0044,Bahadurjit Sekhon,27,Male,MCA,2,76.41,7.36,83.7,15,0,Average,7.57
SEM2_0045,Chanakya Konda,28,Female,MCA,2,79.46,7.99,78.9,17,1,Average,7.59
SEM2_0046,Chaitanya Ratti,26,Female,MCA,2,70.87,7.25,88.4,18,1,Average,8.27
SEM2_0047,Reva Kaur,28,Female,MCA,2,76.81,7.35,82.8,18,0,Average,7.54
SEM2_0048,Teerth Bhalla,22,Male,MCA,2,70.45,6.67,100.0,24,1,Average,8.54
SEM2_0049,Logan Thakur,22,Female,MCA,2,78.85,7.93,94.7,21,0,Excellent,8.46
SEM2_0050,Bimala Kaur,26,Male,MCA,2,67.65,7.04,87.0,27,2,Average,8.26
SEM2_0051,Eiravati Nagi,26,Female,MCA,2,81.04,7.62,70.0,15,4,At-risk,8.23
SEM2_0052,Warjas Mittal,25,Male,MCA,2,85.28,9.3,76.4,13,2,Average,8.3
SEM2_0053,Luke Verma,24,Female,MCA,2,76.3,7.93,74.1,16,1,Average,7.51
SEM2_0054,Timothy Sachdev,27,Female,MCA,2,72.42,6.66,75.4,23,0,Excellent,9.27
SEM2_0055,Charita Maharaj,21,Female,MCA,2,83.3,7.7,95.0,26,3,Average,8.82
SEM2_0056,Darsh Gill,22,Male,MCA,2,76.58,8.27,77.4,13,3,At-risk,6.57
SEM2_0057,Prisha Tandon,22,Male,MCA,2,75.37,7.45,78.4,14,0,Average,8.44
SEM2_0058,Champak Padmanabhan,26,Female,MCA,2,57.48,5.58,73.6,22,0,Average,8.42
SEM2_0059,Lakshmi Vohra,26,Female,MCA,2,75.21,7.23,86.7,17,0,Average,7.16
SEM2_0060,Eiravati Saha,27,Male,MCA,2,79.97,8.12,63.8,16,0,Average,7.7
SEM2_0061,Nilima Dixit,24,Female,MCA,2,69.17,6.47,93.7,22,1,Average,7.72
SEM2_0062,Charita Puri,27,Female,MCA,2,71.6,7.06,74.6,13,1,Average,8.28
SEM2_0063,Qarin Yogi,21,Female,MCA,2,66.96,6.89,63.9,15,0,Average,6.75
SEM2_0064,Urvashi Khosla,27,Male,MCA,2,67.37,5.73,84.7,24,2,Average,7.23
SEM2_0065,Umang Mital,22,Male,MCA,2,64.75,6.17,75.4,26,0,Excellent,8.99
SEM2_0066,Maanas Sheth,23,Male,MCA,2,79.92,7.6,97.7,15,3,At-risk,7.22
