student_id,student_name,age,gender,course,semester,ug_percentage,ug_cgpa,attendance_percent,internal_score,backlogs,performance,sem1_sgpa,sem2_sgpa
SEM3_0001,Pratyush Bhagat,25,Female,MCA,3,68.91,6.81,71.7,20,0,Average,7.61,7.34
SEM3_0002,Triya Bora,26,Male,MCA,3,72.77,7.45,87.7,21,1,Average,7.51,7.7
SEM3_0003,Bina Bhavsar,27,Male,MCA,3,77.67,8.14,69.2,12,0,Average,7.44,7.56
SEM3_0004,Zashil Chaudhari,27,Female,MCA,3,65.47,6.46,71.7,25,0,Average,8.04,7.78
SEM3_0005,Rudra Sur,24,Male,MCA,3,74.66,7.94,76.5,15,2,Average,7.8,8.36
SEM3_0006,Ganga Parikh,23,Female,MCA,3,87.14,8.86,79.4,12,1,Average,7.73,7.8
SEM3_0007,Kabir Keer,27,Female,MCA,3,84.0,7.86,97.9,27,0,Excellent,9.45,9.48
SEM3_0008,Harish Mane,22,Male,MCA,3,78.45,7.77,62.9,21,0,Average,8.82,8.09
SEM3_0009,Ekaraj Hari,28,Male,MCA,3,65.02,6.72,92.4,23,0,Excellent,8.1,8.74
SEM3_0010,Eesha Sunder,26,Female,MCA,3,66.93,6.51,72.0,19,0,Average,8.78,8.37
SEM3_0011,Shravya Narasimhan,22,Male,MCA,3,78.34,7.81,83.7,17,3,Average,8.55,8.7
SEM3_0012,Damini Dua,24,Male,MCA,3,77.6,7.83,98.2,23,0,Excellent,8.16,7.92
SEM3_0013,Janya Mutti,24,Male,MCA,3,58.7,6.63,72.8,15,2,At-risk,6.69,6.95
SEM3_0014,Priya Ganguly,25,Male,MCA,3,62.13,5.45,79.3,24,1,Average,7.91,7.65
SEM3_0015,Aayush Munshi,25,Female,MCA,3,62.15,6.04,85.2,14,4,At-risk,7.63,7.21
SEM3_0016,Yatin Kant,28,Female,MCA,3,73.2,7.43,65.8,30,1,Excellent,9.31,9.41
SEM3_0017,Rajata Malhotra,22,Female,MCA,3,68.97,7.35,100.0,21,2,Average,7.44,8.03
SEM3_0018,Jagvi Desai,25,Female,MCA,3,60.62,5.87,69.6,21,0,Average,7.29,6.98
