student_id,student_name,age,gender,course,semester,ug_percentage,ug_cgpa,attendance_percent,internal_score,backlogs,performance,sem1_sgpa,sem2_sgpa,sem3_sgpa
SEM4_0001,Arya Atwal,26,Male,MCA,4,80.14,8.45,59.8,22,0,Excellent,8.3,8.7,8.22
SEM4_0002,Priya Koshy,25,Female,MCA,4,69.88,6.33,90.4,24,0,Excellent,9.44,9.68,9.68
SEM4_0003,Yug Narang,27,Male,MCA,4,59.31,5.96,93.8,14,4,At-risk,7.7,7.68,8.68
SEM4_0004,Radha Kapadia,25,Male,MCA,4,60.2,5.59,67.1,12,2,Average,6.6,6.43,7.12
SEM4_0005,Manthan Ahluwalia,28,Female,MCA,4,46.86,4.59,91.4,24,2,Average,6.76,6.41,6.73
SEM4_0006,Omisha Basu,24,Female,MCA,4,77.13,8.31,88.5,17,0,Average,6.8,6.57,6.4
SEM4_0007,Banjeet Singhal,22,Male,MCA,4,76.57,7.69,90.3,23,2,Average,7.14,7.06,7.05
SEM4_0008,Yamini Bandi,21,Male,MCA,4,80.21,8.08,84.2,17,0,Average,8.48,8.62,8.49
SEM4_0009,Pavani Wali,27,Female,MCA,4,63.51,6.4,66.1,11,0,Average,8.03,7.9,8.18
SEM4_0010,Meera Srinivas,22,Female,MCA,4,77.83,7.37,80.2,22,0,Average,7.78,7.41,7.12
SEM4_0011,Guneet Sethi,27,Male,MCA,4,73.3,6.93,87.3,24,2,Average,7.8,8.33,8.14
SEM4_0012,Warhi Khosla,26,Male,MCA,4,84.92,8.72,81.7,26,0,Excellent,9.48,9.44,9.65
SEM4_0013,Fiyaz Arora,26,Male,MCA,4,60.83,6.15,70.2,23,0,Average,6.85,7.12,7.07
SEM4_0014,Niharika Kamdar,22,Female,MCA,4,70.76,7.08,77.6,21,2,Average,8.7,8.8,8.48
SEM4_0015,Kevin Parmer,23,Female,MCA,4,73.49,7.62,60.6,24,0,Excellent,8.42,8.9,9.24
SEM4_0016,Chakrika Khare,25,Male,MCA,4,64.47,5.72,79.4,15,0,Average,6.11,6.38,6.42
SEM4_0017,Gautam Babu,25,Male,MCA,4,83.6,8.64,84.2,25,0,Average,7.06,7.54,7.34
SEM4_0018,Varsha Mody,25,Male,MCA,4,73.32,7.71,61.0,16,0,Average,7.21,7.0,6.54
SEM4_0019,Neel Sharaf,22,Female,MCA,4,95.0,9.36,70.5,26,2,Average,9.25,8.83,9.34
SEM4_0020,Arjun Sha,26,Male,MCA,4,52.77,5.58,79.4,24,0,Excellent,8.74,8.4,8.66
SEM4_0021,Ubika Devi,27,Male,MCA,4,73.82,7.29,65.4,18,1,Average,8.06,7.44,7.62
SEM4_0022,Nidra Goyal,28,Male,MCA,4,83.15,8.67,75.5,18,1,Average,7.89,8.18,7.83
SEM4_0023,Kamala Shetty,24,Female,MCA,4,73.13,7.69,73.5,15,0,Average,8.21,8.4,8.29
SEM4_0024,Aarav Bobal,23,Female,MCA,4,95.0,9.4,91.8,24,3,Average,8.28,8.94,8.69
SEM4_0025,Lekha Natarajan,24,Female,MCA,4,54.94,5.81,69.1,12,1,Average,7.41,6.77,6.23
SEM4_0026,Bachittar Minhas,23,Male,MCA,4,71.41,7.4,96.6,16,0,Average,6.85,6.32,6.7
SEM4_0027,Pooja Madan,25,Male,MCA,4,56.49,5.49,66.8,14,3,At-risk,7.39,7.12,7.15
SEM4_0028,Sarthak Buch,26,Female,MCA,4,61.61,5.82,83.8,14,0,Average,8.35,8.15,8.22
SEM4_0029,Gautami Bhakta,21,Male,MCA,4,61.56,6.46,76.4,19,0,Average,8.07,7.72,7.11
SEM4_0030,Yutika Patla,22,Female,MCA,4,86.98,9.16,72.3,12,1,Average,7.2,6.56,6.92
SEM4_0031,Charan Choudhry,26,Male,MCA,4,61.45,5.98,83.1,30,0,Excellent,7.84,7.93,8.02
SEM4_0032,Leela Pau,21,Male,MCA,4,71.04,7.26,73.5,16,1,Average,7.69,7.45,7.29
SEM4_0033,Udyati Baria,26,Female,MCA,4,69.64,6.64,87.2,24,1,Average,8.51,7.99,8.32
SEM4_0034,Jasmit Peri,24,Male,MCA,4,70.01,6.64,81.9,16,0,Excellent,8.12,8.56,9.0
SEM4_0035,Parth Bhavsar,25,Male,MCA,4,60.13,6.49,67.3,16,0,Average,7.47,7.49,7.44
SEM4_0036,Samarth Devi,22,Female,MCA,4,74.82,7.21,66.7,9,0,Average,6.91,7.14,6.99
SEM4_0037,Gaurika Khare,24,Male,MCA,4,64.91,6.75,94.2,20,1,Average,7.75,7.17,7.17
SEM4_0038,Ishaan Sridhar,23,Male,MCA,4,76.47,6.96,63.1,20,2,At-risk,7.0,6.75,6.06
SEM4_0039,Shaurya Kar,25,Female,MCA,4,83.27,8.52,74.7,19,0,Average,7.76,7.86,8.45
SEM4_0040,Ekani Pandit,23,Female,MCA,4,84.71,7.54,71.3,10,4,At-risk,6.77,6.55,6.93
SEM4_0041,Amara Thakur,25,Female,MCA,4,74.69,7.32,81.2,12,2,Average,6.87,6.45,6.88
SEM4_0042,Pallavi Malhotra,21,Female,MCA,4,86.65,9.01,91.8,27,1,Excellent,9.4,9.77,9.24
SEM4_0043,Chatura Bhatnagar,26,Female,MCA,4,85.58,8.1,78.9,24,0,Excellent,8.3,8.38,8.18
SEM4_0044,Kashish Pai,24,Female,MCA,4,82.68,7.92,88.9,26,0,Excellent,8.42,8.24,8.01
SEM4_0045,Sneha Sunder,28,Male,MCA,4,90.1,8.72,84.3,12,2,At-risk,7.05,6.85,7.12
SEM4_0046,Yachana Vyas,28,Male,MCA,4,75.17,7.17,64.6,10,3,At-risk,6.13,5.87,6.57
SEM4_0047,Jason Singhal,22,Female,MCA,4,71.73,7.25,73.3,17,1,Average,8.18,7.83,8.09
SEM4_0048,Brinda Seth,28,Female,MCA,4,67.68,6.44,91.6,20,0,Average,7.0,7.38,6.91
SEM4_0049,Jhalak Bhatti,26,Male,MCA,4,75.39,7.52,79.7,14,4,At-risk,7.47,7.78,7.1
SEM4_0050,Raghav Shankar,28,Male,MCA,4,54.69,5.22,76.9,26,0,Excellent,8.16,7.96,8.55
SEM4_0051,Gagan Buch,23,Female,MCA,4,60.78,5.75,67.8,22,0,Excellent,8.99,9.1,9.13
SEM4_0052,Mahika Gola,25,Male,MCA,4,86.8,8.72,78.9,19,1,Average,7.75,8.12,7.62
SEM4_0053,Bhavya Bose,28,Male,MCA,4,71.21,7.42,55.7,20,0,Excellent,8.1,8.45,9.16
SEM4_0054,Ikbal Gala,22,Male,MCA,4,83.46,8.75,79.8,21,0,Average,8.73,8.49,8.29
SEM4_0055,Anya Choudhury,23,Male,MCA,4,72.73,7.13,73.3,16,0,Average,6.97,6.32,6.75
SEM4_0056,Manbir Taneja,26,Male,MCA,4,65.4,6.91,52.7,20,0,Average,7.88,7.98,8.29
SEM4_0057,Matthew Jayaraman,22,Male,MCA,4,72.86,7.08,92.5,23,0,Excellent,8.44,8.93,9.39
SEM4_0058,Arin Memon,28,Female,MCA,4,71.81,6.56,87.4,15,0,Excellent,9.59,9.8,9.63
SEM4_0059,Omaja Deo,26,Male,MCA,4,89.53,9.14,77.9,30,0,Excellent,9.8,9.8,9.49
SEM4_0060,Urvi Palan,28,Male,MCA,4,87.17,9.13,84.8,19,2,Average,8.52,8.5,8.91
SEM4_0061,Osha Sawhney,27,Female,MCA,4,79.88,7.85,78.4,18,0,Average,7.07,8.08,7.23
SEM4_0062,Ansh Manne,25,Female,MCA,4,69.86,6.58,79.3,22,0,Excellent,8.18,8.36,9.09
SEM4_0063,Ranbir Bhatnagar,25,Male,MCA,4,65.53,6.94,57.6,17,0,Average,7.24,7.56,7.19
SEM4_0064,Anthony Kata,25,Male,MCA,4,80.17,7.76,84.0,14,3,At-risk,8.31,7.14,7.25
SEM4_0065,Zinal Nayak,25,Male,MCA,4,90.87,9.49,76.7,25,1,Average,8.56,8.72,8.19
SEM4_0066,Nisha Oza,25,Female,MCA,4,73.42,7.5,100.0,19,0,Average,7.99,8.19,7.9
SEM4_0067,Eta Sunder,23,Female,MCA,4,72.16,6.91,76.2,26,1,Excellent,9.22,9.64,9.5
SEM4_0068,Sai Shankar,23,Female,MCA,4,81.6,7.76,76.1,17,3,Average,8.2,8.99,9.15
SEM4_0069,Daksha Deo,25,Male,MCA,4,63.34,6.31,86.9,26,1,Excellent,9.04,9.59,9.8
SEM4_0070,Damini Garg,23,Female,MCA,4,65.35,6.7,81.2,26,0,Excellent,7.9,8.09,8.13
SEM4_0071,Abha Karan,28,Male,MCA,4,72.11,7.59,83.8,19,2,Average,8.9,9.56,9.28
SEM4_0072,Veda Prabhu,28,Male,MCA,4,72.32,7.65,88.5,20,1,Average,9.04,8.24,8.14
SEM4_0073,Bhavya Batta,23,Male,MCA,4,59.5,6.09,86.0,27,2,Average,7.73,7.1,6.5
SEM4_0074,Manbir Pandit,25,Male,MCA,4,81.5,7.53,82.1,16,0,Average,8.79,8.78,8.81
SEM4_0075,Bhavani Shah,21,Male,MCA,4,65.03,6.63,85.1,18,0,Average,8.86,8.75,8.69
